Identifier	Database
S000004172	SGD
S000000364	SGD
S000002290	SGD
S000002461	SGD
S000002290	SGD
S000002736	SGD
S000002461	SGD
S000000364	SGD
S000002736	SGD
S000000364	SGD
S000005952	SGD
S000004172	SGD
S000000112	SGD
S000003693	SGD
S000000913	SGD
S000002214	SGD
S000000364	SGD
S000000297	SGD
S000002264	SGD
S000001930	SGD
S000005952	SGD
S000005361	SGD
S000003465	SGD
S000000038	SGD
S000004812	SGD
S000004069	SGD
S000001885	SGD
S000003850	SGD
S000002736	SGD
S000002290	SGD
S000002461	SGD
S000001693	SGD
S000001308	SGD
S000006324	SGD
S000003730	SGD
S000004093	SGD
S000002175	SGD
S000002459	SGD
S000000364	SGD
S000002314	SGD
S000000339	SGD
S000001865	SGD
S000002915	SGD
S000001584	SGD
S000000337	SGD
S000003723	SGD
S000003340	SGD
S000004639	SGD
S000001405	SGD
S000000975	SGD
S000006074	SGD
S000000340	SGD
S000004603	SGD
S000002625	SGD
S000000478	SGD
S000002520	SGD
S000003796	SGD
S000005943	SGD
S000002625	SGD
S000005895	SGD
S000000975	SGD
S000004069	SGD
S000002553	SGD
S000001924	SGD
S000000680	SGD
S000000316	SGD
S000003746	SGD
S000003612	SGD
S000003324	SGD
S000006315	SGD
S000000072	SGD
S000003420	SGD
S000005552	SGD
S000003345	SGD
S000001368	SGD
S000003567	SGD
S000003054	SGD
S000003550	SGD
S000003084	SGD
S000002971	SGD
S000003330	SGD
S000000241	SGD
S000004529	SGD
S000004659	SGD
S000000022	SGD
S000003814	SGD
S000005233	SGD
S000004530	SGD
S000003927	SGD
S000005205	SGD
S000000264	SGD
S000006366	SGD
S000001160	SGD
S000000119	SGD
S000006223	SGD
S000003169	SGD
S000000758	SGD
S000004264	SGD
S000000406	SGD
S000005116	SGD
S000004117	SGD
S000002525	SGD
S000004092	SGD
S000002166	SGD
S000003209	SGD
S000001505	SGD
S000001209	SGD
S000001932	SGD
S000000180	SGD
S000004076	SGD
S000004262	SGD
S000002588	SGD
S000001927	SGD
S000000193	SGD
S000002733	SGD
S000002186	SGD
S000002625	SGD
S000006115	SGD
S000004279	SGD
S000004603	SGD
S000005424	SGD
S000002520	SGD
S000005775	SGD
14265-44-2	CAS
HMDB00058	HMDB
WP510	WikiPathways
