Identifier	Database
S000004351	SGD
S000002634	SGD
S000001328	SGD
S000004830	SGD
S000001328	SGD
S000003412	SGD
S000000872	SGD
S000003563	SGD
S000001550	SGD
S000001550	SGD
S000003293	SGD
S000002816	SGD
S000003203	SGD
S000004915	SGD
S000003203	SGD
S000005654	SGD
S000004018	SGD
S000004351	SGD
S000004727	SGD
S000000070	SGD
S000005164	SGD
S000000972	SGD
S000000872	SGD
S000003563	SGD
S000003412	SGD
S000001259	SGD
S000004424	SGD
S000004520	SGD
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
523-98-8	CAS
1927-31-7	CAS
56-85-9	CAS
2466-09-3	CAS
56-86-0	CAS
1927-31-7	CAS
2466-09-3	CAS
85-32-5	CAS
146-91-8	CAS
1927-31-7	CAS
58-64-0	CAS
102783-74-4	CAS
2564-35-4	CAS
1927-31-7	CAS
58-64-0	CAS
56-85-9	CAS
14265-44-2	CAS
56-40-6	CAS
14265-44-2	CAS
97-55-2	CAS
56-85-9	CAS
2466-09-3	CAS
56-86-0	CAS
1927-31-7	CAS
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
3031-94-5	CAS
58-64-0	CAS
1927-31-7	CAS
1927-31-7	CAS
58-64-0	CAS
2800-34-2	CAS
1927-31-7	CAS
56-86-0	CAS
58-64-0	CAS
1927-31-7	CAS
14265-44-2	CAS
58-64-0	CAS
14265-44-2	CAS
14265-44-2	CAS
2564-35-4	CAS
146-91-8	CAS
14265-44-2	CAS
1927-31-7	CAS
1927-31-7	CAS
53-84-9	CAS
58-64-0	CAS
1927-31-7	CAS
