Identifier	Database
S000003499	SGD
S000005200	SGD
S000005200	SGD
S000004902	SGD
S000005316	SGD
S000005200	SGD
S000004048	SGD
S000000467	SGD
S000000288	SGD
S000003436	SGD
S000000288	SGD
S000003436	SGD
S000000288	SGD
S000003436	SGD
S000005767	SGD
S000004719	SGD
2564-35-4	CAS
2466-09-3	CAS
14265-44-2	CAS
1927-31-7	CAS
56-86-0	CAS
56-85-9	CAS
55508-12-8	CAS
2466-09-3	CAS
1927-31-7	CAS
56-86-0	CAS
14265-44-2	CAS
2646-71-1	CAS
56-45-1	CAS
31690-11-6	CAS
2800-34-2	CAS
1927-31-7	CAS
14265-44-2	CAS
58-64-0	CAS
2646-71-1	CAS
56-40-6	CAS
1927-31-7	CAS
56-86-0	CAS
14265-44-2	CAS
58-64-0	CAS
