Identifier	Database
CHEBI:15846	ChEBI
CHEBI:15377	ChEBI
CHEBI:456215	ChEBI
CHEBI:25527	ChEBI
CHEBI:15377	ChEBI
CHEBI:15377	ChEBI
CHEBI:15846	ChEBI
CHEBI:15377	ChEBI
CHEBI:16134	ChEBI
CHEBI:18304	ChEBI
CHEBI:16134	ChEBI
CHEBI:15377	ChEBI
CHEBI:15377	ChEBI
CHEBI:456215	ChEBI
CHEBI:15846	ChEBI
CHEBI:15377	ChEBI
S000003035	SGD
S000003005	SGD
S000003242	SGD
S000004320	SGD
S000001116	SGD
S000005735	SGD
3615-55-2	CAS
98-92-0	CAS
20762-30-5	CAS
1927-31-7	CAS
2466-09-3	CAS
56-85-9	CAS
1927-31-7	CAS
2466-09-3	CAS
56-86-0	CAS
58-64-0	CAS
14265-44-2	CAS
2466-09-3	CAS
1927-31-7	CAS
97-55-2	CAS
CHEBI:15940	ChEBI
