Identifier	Database
S000002442	SGD
S000000453	SGD
S000002534	SGD
S000002534	SGD
S000002534	SGD
S000002534	SGD
S000002534	SGD
S000003116	SGD
S000000892	SGD
S000001694	SGD
S000002762	SGD
S000002414	SGD
S000001694	SGD
S000002994	SGD
S000006264	SGD
S000000370	SGD
S000001179	SGD
S000003170	SGD
S000005260	SGD
S000001179	SGD
S000003170	SGD
585-18-2	CAS
138-08-9	CAS
14265-44-2	CAS
14265-44-2	CAS
2646-71-1	CAS
1927-31-7	CAS
58-64-0	CAS
138-08-9	CAS
14265-44-2	CAS
14265-44-2	CAS
55508-12-8	CAS
56-85-9	CAS
97-55-2	CAS
2466-09-3	CAS
56-45-1	CAS
591-57-1	CAS
73-22-3	CAS
126-49-8	CAS
2646-71-1	CAS
60-18-4	CAS
56-86-0	CAS
63-91-2	CAS
56-86-0	CAS
