Identifier	Database
852283	Entrez Gene
854150	Entrez Gene
853670	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
851631	Entrez Gene
852376	Entrez Gene
851557	Entrez Gene
 	Entrez Gene
854433	Entrez Gene
854735	Entrez Gene
856422	Entrez Gene
856742	Entrez Gene
856607	Entrez Gene
852834	Entrez Gene
853712	Entrez Gene
854284	Entrez Gene
852003	Entrez Gene
855362	Entrez Gene
854882	Entrez Gene
852239	Entrez Gene
854544	Entrez Gene
853036	Entrez Gene
 	Entrez Gene
853456	Entrez Gene
854328	Entrez Gene
856218	Entrez Gene
850611	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
854435	Entrez Gene
 	Entrez Gene
850613	Entrez Gene
854810	Entrez Gene
853147	Entrez Gene
851461	Entrez Gene
851408	Entrez Gene
852037	Entrez Gene
852834	Entrez Gene
852873	Entrez Gene
854119	Entrez Gene
853168	Entrez Gene
856731	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
850620	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
 	Entrez Gene
1927-31-7	CAS
