Identifier	Database
S000000467	SGD
S000004048	SGD
S000001635	SGD
S000005417	SGD
S000003486	SGD
S000001217	SGD
S000004942	SGD
S000005920	SGD
S000006202	SGD
S000002236	SGD
S000001568	SGD
S000005486	SGD
S000000598	SGD
CITS0000	SGD
S000006205	SGD
S000003736	SGD
ACOS0000	SGD
S000004295	SGD
S000000867	SGD
56-40-6	CAS
56-45-1	CAS
31690-11-6	CAS
56-40-6	CAS
1927-31-7	CAS
58-64-0	CAS
138-08-9	CAS
14265-44-2	CAS
617-48-1	CAS
53-84-9	CAS
1927-31-7	CAS
64885-97-8	CAS
58-64-0	CAS
14265-44-2	CAS
72-89-9	CAS
64885-97-8	CAS
