Identifier	Database
S000003030	SGD
S000000422	SGD
S000006205	SGD
S000005284	SGD
S000000598	SGD
S000004295	SGD
S000003736	SGD
S000004982	SGD
S000004295	SGD
S000005662	SGD
S000001387	SGD
S000002555	SGD
S000005668	SGD
S000003476	SGD
S000001631	SGD
S000003964	SGD
S000001624	SGD
S000002585	SGD
S000006183	SGD
S000002236	SGD
S000001568	SGD
S000005486	SGD
1927-31-7	CAS
58-64-0	CAS
14265-44-2	CAS
72-89-9	CAS
64885-97-8	CAS
53-84-9	CAS
604-98-8	CAS
58-64-0	CAS
14265-44-2	CAS
1927-31-7	CAS
64885-97-8	CAS
303-97-9	CAS
617-48-1	CAS
53-84-9	CAS
