Identifier	Database
S000001734	SGD
S000004282	SGD
S000005786	SGD
S000003315	SGD
S000002619	SGD
Q9NZJ5	Uniprot-TrEMBL
P19525	Uniprot-TrEMBL
S000004182	SGD
S000004754	SGD
S000002837	SGD
S000004926	SGD
S000005888	SGD
S000000283	SGD
S000004614	SGD
S000005006	SGD
S000001767	SGD
S000006367	SGD
Q15056	Uniprot-TrEMBL
S000005499	SGD
S000005188	SGD
Q9UNQ9	Uniprot-TrEMBL
S000000834	SGD
Q13541	Uniprot-TrEMBL
Q13542	Uniprot-TrEMBL
O60516	Uniprot-TrEMBL
S000000322	SGD
S000000003	SGD
S000001564	SGD
S000005969	SGD
S000002793	SGD
S000000347	SGD
Q9NY44	Uniprot-TrEMBL
P11940	Uniprot-TrEMBL
Q04637	Uniprot-TrEMBL
O43432	Uniprot-TrEMBL
S000003767	SGD
S000006158	SGD
S000000827	SGD
S000000033	SGD
Q9BQI3	Uniprot-TrEMBL
S000006245	SGD
S000003808	SGD
O00418	Uniprot-TrEMBL
S000006220	SGD
S000005383	SGD
S000004873	SGD
S000003394	SGD
S000003017	SGD
S000005802	SGD
S000000760	SGD
S000002579	SGD
