Identifier	Database
S000003103	SGD
S000001280	SGD
S000005589	SGD
S000000235	SGD
S000002419	SGD
S000006052	SGD
S000004538	SGD
S000004440	SGD
S000004947	SGD
S000003044	SGD
S000006119	SGD
S000001025	SGD
S000003968	SGD
S000003115	SGD
S000005011	SGD
S000004065	SGD
S000003317	SGD
S000000780	SGD
S000002240	SGD
S000004750	SGD
S000001489	SGD
S000000993	SGD
S000004019	SGD
S000004728	SGD
S000001395	SGD
S000005013	SGD
S000001663	SGD
S000003713	SGD
S000005245	SGD
S000000123	SGD
S000004855	SGD
S000000395	SGD
S000006000	SGD
S000004051	SGD
S000006436	SGD
S000000183	SGD
S000002999	SGD
S000003380	SGD
S000005487	SGD
S000004336	SGD
S000003266	SGD
S000001052	SGD
S000003071	SGD
S000006437	SGD
S000002998	SGD
S000002233	SGD
S000000188	SGD
S000006064	SGD
S000005760	SGD
S000002135	SGD
S000001314	SGD
S000002295	SGD
S000004807	SGD
S000006438	SGD
S000004175	SGD
S000002908	SGD
S000004317	SGD
S000003725	SGD
S000001410	SGD
S000002293	SGD
S000001183	SGD
S000003855	SGD
S000003446	SGD
S000004038	SGD
S000004433	SGD
S000004528	SGD
S000003091	SGD
S000005122	SGD
S000001246	SGD
S000003884	SGD
S000000385	SGD
S000005622	SGD
S000005040	SGD
S000000168	SGD
S000006002	SGD
S000000393	SGD
S000005819	SGD
S000004843	SGD
S000000252	SGD
S000005896	SGD
S000002471	SGD
S000000627	SGD
S000003727	SGD
S000005400	SGD
S000002241	SGD
S000004486	SGD
S000002855	SGD
S000002858	SGD
S000005481	SGD
S000005246	SGD
S000001007	SGD
S000001765	SGD
S000003726	SGD
S000003350	SGD
S000000876	SGD
S000003259	SGD
S000003157	SGD
S000000933	SGD
S000001639	SGD
S000001063	SGD
S000004254	SGD
S000004380	SGD
S000002219	SGD
S000004278	SGD
S000004157	SGD
S000004332	SGD
S000002239	SGD
S000002288	SGD
S000005399	SGD
S000002790	SGD
