Identifier	Database
S000006108	SGD
S000002869	SGD
S000001868	SGD
S000001661	SGD
S000004324	SGD
S000005534	SGD
S000000920	SGD
S000001409	SGD
S000000920	SGD
S000001047	SGD
S000005738	SGD
S000003846	SGD
S000005042	SGD
S000004219	SGD
S000000039	SGD
S000004219	SGD
S000006369	SGD
S000004334	SGD
S000002394	SGD
S000000999	SGD
S000004354	SGD
S000004354	SGD
S000005215	SGD
S000000999	SGD
S000002318	SGD
S000002318	SGD
S000001126	SGD
S000000532	SGD
S000002510	SGD
S000003664	SGD
S000004998	SGD
S000001072	SGD
S000001803	SGD
S000004103	SGD
S000003272	SGD
S000005970	SGD
S000003693	SGD
S000006010	SGD
S000004646	SGD
S000000287	SGD
S000004646	SGD
S000000532	SGD
S000003264	SGD
S000004463	SGD
S000003320	SGD
S000000404	SGD
S000003631	SGD
S000005757	SGD
S000000913	SGD
S000004640	SGD
S000005970	SGD
S000001126	SGD
S000005314	SGD
S000003996	SGD
S000000999	SGD
S000000201	SGD
S000004354	SGD
2564-35-4	CAS
146-91-8	CAS
146-91-8	CAS
2564-35-4	CAS
146-91-8	CAS
2564-35-4	CAS
146-91-8	CAS
2564-35-4	CAS
WP414	WikiPathways
S000001047	SGD
S000005738	SGD
S000003846	SGD
