Identifier	Database
S000000469	SGD
S000004911	SGD
S000002469	SGD
S000006008	SGD
S000000387	SGD
S000001761	SGD
S000003670	SGD
S000001491	SGD
S000000995	SGD
S000005697	SGD
S000004250	SGD
S000001487	SGD
S000000240	SGD
S000005978	SGD
S000002479	SGD
S000002705	SGD
S000001761	SGD
S000003670	SGD
S000005697	SGD
S000004250	SGD
2646-71-1	CAS
1763-10-6	CAS
56-45-1	CAS
64885-97-8	CAS
2646-71-1	CAS
1927-31-7	CAS
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
629-80-1	CAS
HMDB04610	HMDB
HMDB01377	HMDB
HMDB02985	HMDB
HMDB12237	HMDB
HMDB02985	HMDB
HMDB02111	HMDB
HMDB12280	HMDB
HMDB00217	HMDB
