Identifier	Database
S000001664	SGD
S000000901	SGD
S000001003	SGD
S000000164	SGD
S000005422	SGD
S000000857	SGD
S000000535	SGD
S000000535	SGD
S000001282	SGD
S000005728	SGD
S000001378	SGD
S000001921	SGD
S000000535	SGD
S000000535	SGD
S000004727	SGD
S000004018	SGD
S000004727	SGD
S000004018	SGD
S000001259	SGD
S000004424	SGD
S000004520	SGD
S000004830	SGD
S000001328	SGD
S000003412	SGD
S000000872	SGD
S000003563	SGD
S000001550	SGD
S000001550	SGD
S000004915	SGD
S000003203	SGD
S000002816	SGD
S000003293	SGD
S000003203	SGD
S000005654	SGD
S000000070	SGD
S000004351	SGD
S000004574	SGD
S000004884	SGD
S000001699	SGD
S000004412	SGD
S000003666	SGD
S000003666	SGD
S000000747	SGD
S000001507	SGD
S000003864	SGD
S000000135	SGD
S000001550	SGD
3615-55-2	CAS
1927-31-7	CAS
97-55-2	CAS
1927-31-7	CAS
14265-44-2	CAS
2466-09-3	CAS
56-85-9	CAS
56-86-0	CAS
56-86-0	CAS
25679-93-0	CAS
14265-44-2	CAS
53-84-9	CAS
53-84-9	CAS
71-001	CAS
3031-94-5	CAS
2800-34-2	CAS
53-84-9	CAS
523-98-8	CAS
1927-31-7	CAS
56-85-9	CAS
2466-09-3	CAS
56-86-0	CAS
1927-31-7	CAS
2466-09-3	CAS
85-32-5	CAS
146-91-8	CAS
1927-31-7	CAS
58-64-0	CAS
102783-74-4	CAS
1927-31-7	CAS
58-64-0	CAS
2564-35-4	CAS
1927-31-7	CAS
58-64-0	CAS
56-85-9	CAS
56-86-0	CAS
2466-09-3	CAS
56-40-6	CAS
1927-31-7	CAS
14265-44-2	CAS
58-64-0	CAS
2800-34-2	CAS
56-86-0	CAS
58-64-0	CAS
14265-44-2	CAS
56-85-9	CAS
1927-31-7	CAS
1927-31-7	CAS
14265-44-2	CAS
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
14265-44-2	CAS
1927-31-7	CAS
14265-44-2	CAS
58-64-0	CAS
2466-09-3	CAS
14265-44-2	CAS
56-85-9	CAS
1927-31-7	CAS
58-64-0	CAS
14265-44-2	CAS
56-86-0	CAS
1927-31-7	CAS
58-64-0	CAS
1927-31-7	CAS
58-64-0	CAS
1927-31-7	CAS
56-85-9	CAS
56-86-0	CAS
58-64-0	CAS
14265-44-2	CAS
63-38-7	CAS
58-64-0	CAS
1927-31-7	CAS
