"intpathway","kegg","LCS","Gene Agreement","GenePair Agreement"
"fatty_acid_oxidation","c5_isoprenoid_biosynthesis,_mevalonate_pathway","9","0.965","1.000"
"fatty_acid_oxidation","gluconeogenesis,_oxaloacetate_=>_fructose-6p","8","0.965","1.000"
"fatty_acid_oxidation","aminoacyl-trna_biosynthesis,_eukaryotes","8","0.965","1.000"
"fatty_acid_oxidation","scf-grr1_complex","5","0.965","1.000"
"fatty_acid_oxidation","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","11","0.965","1.000"
"fatty_acid_oxidation","n-glycan_biosynthesis,_high-mannose_type","7","0.965","1.000"
"fatty_acid_oxidation","cell_cycle_-_g1/s_transition","8","0.965","1.000"
"fatty_acid_oxidation","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","15","0.965","1.000"
"fatty_acid_oxidation","succinate_dehydrogenase_(ubiquinone)","9","0.965","1.000"
"fatty_acid_oxidation","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","11","0.965","1.000"
"fatty_acid_oxidation","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","16","0.965","1.000"
"fatty_acid_oxidation","beta-oxidation,_acyl-coa_synthesis","11","0.965","1.000"
"fatty_acid_oxidation","escrt-0_complex","5","0.965","1.000"
"fatty_acid_oxidation","proline_biosynthesis,_glutamate_=>_proline","8","0.965","1.000"
"fatty_acid_oxidation","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","9","0.965","1.000"
"fatty_acid_oxidation","glyoxylate_cycle","5","0.965","1.000"
"fatty_acid_oxidation","exosome,_archaea","4","0.965","1.000"
"fatty_acid_oxidation","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","11","0.965","1.000"
"fatty_acid_oxidation","camp_signaling","6","0.965","1.000"
"fatty_acid_oxidation","f-type_atpase,_eukaryotes","8","0.965","1.000"
"fatty_acid_oxidation","sphingosine_degradation","9","0.965","1.000"
"fatty_acid_oxidation","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","9","0.965","1.000"
"fatty_acid_oxidation","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","10","0.965","1.000"
"fatty_acid_oxidation","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","11","0.965","1.000"
"fatty_acid_oxidation","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","13","0.965","1.000"
"fatty_acid_oxidation","ski_complex","4","0.965","1.000"
"fatty_acid_oxidation","mrx_complex","4","0.965","1.000"
"fatty_acid_oxidation","phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","11","0.965","1.000"
"fatty_acid_oxidation","lsm_1-7_complex","4","0.965","1.000"
"fatty_acid_oxidation","glycolysis,_core_module_involving_three-carbon_compounds","10","0.965","1.000"
"fatty_acid_oxidation","sm_core_complex","5","0.965","1.000"
"fatty_acid_oxidation","cell_cycle_-_g2/m_transition","8","0.965","1.000"
"fatty_acid_oxidation","dna_polymerase_alpha_/_primase_complex","8","0.965","1.000"
"fatty_acid_oxidation","decapping_complex","5","0.965","1.000"
"fatty_acid_oxidation","sec61_complex","4","0.965","1.000"
"fatty_acid_oxidation","mcm_complex","4","0.965","1.000"
"fatty_acid_oxidation","spliceosome,_u1-snrnp","4","0.965","1.000"
"fatty_acid_oxidation","cap_binding_complex","7","0.965","1.000"
"fatty_acid_oxidation","h/aca_ribonucleoprotein_complex","7","0.965","1.000"
"fatty_acid_oxidation","origin_recognition_complex","8","0.965","1.000"
"fatty_acid_oxidation","n-glycan_precursor_trimming","7","0.965","1.000"
"fatty_acid_oxidation","gins_complex","4","0.965","1.000"
"fatty_acid_oxidation","tetrahydrofolate_biosynthesis,_gtp_=>_thf","10","0.965","1.000"
"fatty_acid_oxidation","lsm_2-8_complex","4","0.965","1.000"
"fatty_acid_oxidation","proteasome,_19s_regulatory_particle_(pa700)","8","0.965","1.000"
"fatty_acid_oxidation","rf-c_complex","5","0.965","1.000"
"fatty_acid_oxidation","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","12","0.965","1.000"
"fatty_acid_oxidation","threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","10","0.965","1.000"
"fatty_acid_oxidation","phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","9","0.965","1.000"
"fatty_acid_oxidation","holo-tfiih_complex","5","0.965","1.000"
"fatty_acid_oxidation","serine_biosynthesis,_glycerate-3p_=>_serine","8","0.965","1.000"
"fatty_acid_oxidation","cytochrome_bc1_complex","6","0.965","1.000"
"fatty_acid_oxidation","escrt-iii_complex","5","0.965","1.000"
