"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"2-ketoglutarate_dehydrogenase_complex","sc_pyruvate_dehydrogenase_pathway_wp214_69823","20","0.375","0.000","0.000","0.375"
"4-aminobutyrate_degradation","sc_glutamate_degradation_viii_wp99_70055","17","0.313","0.005","0.000","0.313"
"<i>myo</i>-inositol_biosynthesis","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","21","0.396","0.026","0.000","0.396"
"abc_transporters","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","11","0.188","0.026","0.000","0.188"
"acetate_utilization","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","13","0.229","0.007","0.000","0.229"
"acetoin_biosynthesis","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","20","0.375","0.013","0.000","0.375"
"aerobic_glycerol_catabolism","sc_aerobic_glycerol_catabolism_wp224_71353","27","0.521","0.000","0.000","0.521"
"aerobic_respiration,_electron_transport_chain","sc_anaerobic_respiration_wp575_73676","22","0.417","0.000","0.000","0.417"
"alanine,_aspartate_and_glutamate_metabolism","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","22","0.417","0.000","0.002","0.417"
"alanine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","20","0.375","0.015","0.000","0.375"
"alanine_degradation","sc_phenylalanine_degradation_wp573_74213","19","0.354","0.006","0.000","0.354"
"allantoin_degradation","sc_allantoin_degradation_wp328_71348","21","0.396","0.000","0.000","0.396"
"alpha-linolenic_acid_metabolism","sc_sphingolipid_metabolism_wp370_76472","20","0.375","0.022","0.000","0.375"
"aminoacyl-trna_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","20","0.375","0.139","0.000","0.375"
"anaerobic_respiration","sc_anaerobic_respiration_wp575_73676","21","0.396","0.000","0.000","0.396"
"arachidonic_acid_metabolism","sc_sphingolipid_metabolism_wp370_76472","18","0.333","0.053","0.000","0.333"
"arginine_and_proline_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","22","0.417","0.146","0.194","0.417"
"arginine_biosynthesis","sc_arginine_biosynthesis_wp275_69844","21","0.396","0.000","0.000","0.396"
"arginine_degradation","sc_arginine_degradation_wp54_70247","20","0.375","0.000","0.000","0.375"
"asparagine_biosynthesis","sc_asparagine_biosynthesis_wp67_71349","23","0.438","0.000","0.000","0.438"
"asparagine_degradation","sc_asparagine_degradation_wp432_71892","22","0.417","0.000","0.001","0.417"
"aspartate_biosynthesis","sc_aspartate_biosynthesis_wp1518_76276","22","0.417","0.000","0.000","0.417"
"basal_transcription_factors","sc_eukaryotic_transcription_initiation_wp425_77440","20","0.375","0.000","0.000","0.375"
"base_excision_repair","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","13","0.229","0.054","0.000","0.229"
"beta-alanine_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","17","0.313","0.026","0.000","0.313"
"biosynthesis_of_secondary_metabolites","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","25","0.479","0.419","0.000","0.479"
"biosynthesis_of_unsaturated_fatty_acids","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","24","0.458","0.120","0.000","0.458"
"biotin_biosynthesis","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","17","0.313","0.026","0.000","0.313"
"biotin_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","15","0.271","0.019","0.000","0.271"
"butanediol_biosynthesis","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","19","0.354","0.009","0.000","0.354"
"butanediol_degradation","sc_glutamate_degradation_viii_wp99_70055","16","0.292","0.003","0.000","0.292"
"butanoate_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","18","0.333","0.063","0.000","0.333"
"carbon_monoxide_dehydrogenase_pathway","sc_carbon_monoxide_dehydrogenase_pathway_wp280_71352","37","0.729","0.000","0.000","0.729"
"carnitine_shuttle","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","12","0.208","0.011","0.000","0.208"
"cell_cycle_-_yeast","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","-0.000","0.746","0.250"
"cell_cycle_and_cell_division","sc_cell_cycle_and_cell_division_wp414_78393","28","0.542","0.000","0.000","0.542"
"chitin_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","19","0.354","0.011","0.000","0.354"
"chitosan_biosynthesis","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","21","0.396","0.023","0.000","0.396"
"cholesterol_biosynthesis","sc_cholesterol_biosynthesis_wp132_77403","24","0.458","0.000","0.000","0.458"
"chorismate_biosynthesis","sc_chorismate_biosynthesis_wp479_73732","23","0.438","0.000","0.000","0.438"
"citrate_cycle_(tca_cycle)","sc_serine-isocitrate_lyase_pathway_wp390_69869","14","0.250","0.000","0.017","0.250"
"citrulline_biosynthesis","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","21","0.396","0.031","0.000","0.396"
"colanic_acid_building_blocks_biosynthesis","sc_colanic_acid_building_blocks_biosynthesis_wp121_72199","41","0.813","0.000","0.000","0.813"
"cyanoamino_acid_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","19","0.354","0.029","0.000","0.354"
"cysteine_and_methionine_metabolism","sc_threonine_and_methionine_biosynthesis_wp423_69874","26","0.500","0.000","0.003","0.500"
"cysteine_biosynthesis/homocysteine_degradation","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","31","0.604","0.000","0.000","0.604"
"cysteine_biosynthesis_from_homoserine","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","37","0.729","0.000","0.000","0.729"
"cytoplasmic_ribosomal_proteins","sc_cytoplasmic_ribosomal_proteins_wp210_70142","30","0.583","0.000","0.000","0.583"
"cytoplasmic_trna_synthetases","sc_cytoplasmic_trna_synthetases_wp219_76236","28","0.542","-0.000","0.000","0.542"
"de_novo_biosyn._of_pyrimidine_deoxyribonucleotides","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","50","1.000","0.000","0.000","1.000"
"de_novo_biosynthesis_of_purine_nucleotides","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","42","0.833","0.000","0.035","0.833"
"de_novo_biosynthesis_of_pyrimidine_ribonucleotides","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","50","1.000","0.000","0.002","1.000"
"dehydro-d-arabinono-1,4-lactone_biosynthesis","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","25","0.479","0.007","0.000","0.479"
"dna_replication","sc_dna_replication_wp13_78398","15","0.271","0.000","0.000","0.271"
"dolichyl_glucosyl_phosphate_biosynthesis","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","26","0.500","0.056","0.002","0.500"
"dolichyl_phosphate_d-mannose_biosynthesis","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","29","0.563","0.034","0.001","0.563"
"endocytosis","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","10","0.167","0.040","0.000","0.167"
"ergosterol_biosynthesis","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","20","0.375","0.224","0.007","0.375"
"ethanol_degradation","sc_methionine_degradation_wp46_69881","16","0.292","0.009","0.000","0.292"
"ether_lipid_metabolism","sc_sphingolipid_metabolism_wp370_76472","17","0.313","0.053","0.001","0.313"
"eukaryotic_transcription_initiation","sc_eukaryotic_transcription_initiation_wp425_77440","35","0.688","0.000","0.000","0.688"
"fatty_acid_biosynthesis","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","23","0.438","0.000","0.000","0.438"
"fatty_acid_biosynthesis,_initial_steps","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","38","0.750","0.000","0.000","0.750"
"fatty_acid_elongation","sc_fatty_acid_elongation,_unsaturated_wp16_71346","21","0.396","0.000","0.000","0.396"
"fatty_acid_elongation,","sc_fatty_acid_elongation,_unsaturated_wp16_71346","22","0.417","0.000","0.000","0.417"
"fatty_acid_metabolism","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","16","0.292","0.097","0.002","0.292"
"fatty_acid_oxidation","sc_fatty_acid_oxidation_wp91_71343","20","0.375","0.000","0.002","0.375"
"folate_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","18","0.333","0.074","0.001","0.333"
"folate_interconversions","sc_homocysteine_and_cysteine_interconversion_wp128_69755","20","0.375","0.026","0.000","0.375"
"folate_polyglutamylation","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","15","0.271","0.030","0.001","0.271"
"folate_transformations","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","14","0.250","0.035","0.001","0.250"
"folic_acid_biosynthesis","sc_folic_acid_biosynthesis_wp555_69957","23","0.438","0.000","0.000","0.438"
"formaldehyde_oxidation_ii_(glutathione-dependent)","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","23","0.438","0.000","0.000","0.438"
"fructose_and_mannose_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","23","0.438","0.085","0.001","0.438"
"fructose_degradation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","17","0.313","0.005","0.000","0.313"
"galactose_degradation","sc_lactose_degradation_wp546_69943","19","0.354","0.000","0.000","0.354"
"galactose_metabolism","sc_galactose_metabolism_wp549_69945","20","0.375","0.000","0.000","0.375"
"genes_of_meiotic_recombination","sc_genes_of_meiotic_recombination_wp377_69605","30","0.583","0.000","0.000","0.583"
"glucose-1-phosphate_metabolism","sc_glucose-1-phosphate_metabolism_wp260_69835","30","0.583","0.000","0.000","0.583"
"glucose-6-phosphate_biosynthesis","sc_glucose-1-phosphate_metabolism_wp260_69835","23","0.438","0.007","0.000","0.438"
"glucose_fermentation","sc_purine_fermentation_wp463_73550","15","0.271","0.103","0.002","0.271"
"glutamate_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","22","0.417","0.000","0.000","0.417"
"glutamate_degradation","sc_glutamate_degradation_viii_wp99_70055","21","0.396","0.000","0.000","0.396"
"glutamine_biosynthesis","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","21","0.396","0.007","0.000","0.396"
"glutathione-glutaredoxin_redox_reaction","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","39","0.771","0.000","0.000","0.771"
"glutathione-glutaredoxin_system","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","26","0.500","0.000","0.000","0.500"
"glutathione_degradation","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","19","0.354","0.007","0.000","0.354"
"glutathione_metabolism","sc_galactose_metabolism_wp549_69945","17","0.313","0.073","0.000","0.313"
