"Weight set: ","[0.0, 0.0, 1.0, 0.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"2-ketoglutarate_dehydrogenase_complex","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.184","0.034","0.034"
"4-aminobutyrate_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.009","0.009"
"<i>myo</i>-inositol_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.031","0.000","0.000"
"abc_transporters","sc_cytoplasmic_trna_synthetases_wp219_76236","10","0.167","0.031","0.000","0.000"
"acetate_utilization","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.127","0.009","0.009"
"acetoin_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.060","0.000","0.000"
"aerobic_glycerol_catabolism","sc_cytoplasmic_trna_synthetases_wp219_76236","10","0.167","0.162","0.000","0.000"
"aerobic_respiration,_electron_transport_chain","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.842","0.579","0.579"
"alanine,_aspartate_and_glutamate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.872","0.517","0.517"
"alanine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.034","0.034"
"alanine_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.010","0.000","0.000"
"allantoin_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.238","0.066","0.066"
"alpha-linolenic_acid_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.127","0.009","0.009"
"aminoacyl-trna_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.931","0.066","0.066"
"anaerobic_respiration","sc_cytoplasmic_trna_synthetases_wp219_76236","8","0.125","0.021","0.000","0.000"
"arachidonic_acid_metabolism","sc_cytoplasmic_trna_synthetases_wp219_76236","11","0.188","0.051","0.000","0.000"
"arginine_and_proline_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.872","0.375","0.375"
"arginine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.458","0.113","0.113"
"arginine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.288","0.058","0.058"
"asparagine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.050","0.050"
"asparagine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.379","0.164","0.164"
"aspartate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.050","0.050"
"basal_transcription_factors","sc_cytoplasmic_trna_synthetases_wp219_76236","11","0.188","0.221","0.000","0.000"
"base_excision_repair","sc_cytoplasmic_trna_synthetases_wp219_76236","9","0.146","0.162","0.000","0.000"
"beta-alanine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.420","0.098","0.098"
"biosynthesis_of_secondary_metabolites","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.719","0.000","0.000"
"biosynthesis_of_unsaturated_fatty_acids","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.089","0.000","0.000"
"biotin_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.184","0.017","0.017"
"biotin_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","6","0.083","0.335","0.050","0.050"
"butanediol_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","12","0.208","0.010","0.000","0.000"
"butanediol_degradation","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.010","0.000","0.000"
"butanoate_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.745","0.050","0.050"
"carbon_monoxide_dehydrogenase_pathway","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.021","0.000","0.000"
"carnitine_shuttle","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.184","0.025","0.025"
"cell_cycle_-_yeast","sc_cell_cycle_and_cell_division_wp414_78393","14","0.250","-0.000","0.746","0.746"
"cell_cycle_and_cell_division","sc_cytoplasmic_trna_synthetases_wp219_76236","10","0.167","0.670","0.000","0.000"
"chitin_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.184","0.050","0.050"
"chitosan_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.021","0.000","0.000"
"cholesterol_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","15","0.271","0.126","0.000","0.000"
"chorismate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.058","0.058"
"citrate_cycle_(tca_cycle)","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.896","0.593","0.593"
"citrulline_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.184","0.009","0.009"
"colanic_acid_building_blocks_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","17","0.313","0.070","0.000","0.000"
"cyanoamino_acid_metabolism","sc_cytoplasmic_trna_synthetases_wp219_76236","13","0.229","0.089","0.000","0.000"
"cysteine_and_methionine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.880","0.571","0.571"
"cysteine_biosynthesis/homocysteine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.127","0.009","0.009"
"cysteine_biosynthesis_from_homoserine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.238","0.009","0.009"
"cytoplasmic_ribosomal_proteins","sc_cytoplasmic_trna_synthetases_wp219_76236","18","0.333","0.691","0.000","0.000"
"cytoplasmic_trna_synthetases","sc_cytoplasmic_trna_synthetases_wp219_76236","28","0.542","-0.000","0.000","0.000"
"de_novo_biosyn._of_pyrimidine_deoxyribonucleotides","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.250","0.080","0.000","0.000"
"de_novo_biosynthesis_of_purine_nucleotides","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.819","0.560","0.560"
"de_novo_biosynthesis_of_pyrimidine_ribonucleotides","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.745","0.193","0.193"
"dehydro-d-arabinono-1,4-lactone_biosynthesis","sc_cytoplasmic_trna_synthetases_wp219_76236","16","0.292","0.031","0.000","0.000"
"dna_replication","sc_cytoplasmic_trna_synthetases_wp219_76236","7","0.104","0.321","0.000","0.000"
"dolichyl_glucosyl_phosphate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.066","0.066"
"dolichyl_phosphate_d-mannose_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.238","0.034","0.034"
