"kegg","intpathway","LCS","Gene Agreement","GenePair Agreement"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","fatty_acid_oxidation","0","0.031","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycine_biosynthesis_from_threonine","1","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","0","0.009","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","n-glycan_biosynthesis","0","0.121","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycerolipid_metabolism","0","0.052","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","other_glycan_degradation","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","trehalose_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","butanoate_metabolism","0","0.061","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","trehalose_degradation,_low_osmolarity","0","0.015","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phenylalanine_metabolism","0","0.028","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","cholesterol_biosynthesis","1","0.040","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","histidine_biosynthesis","1","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","oleate_biosynthesis","0","0.003","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","methionine_salvage_pathway","1","0.043","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","protein_export","0","0.064","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","pyruvate_dehydrogenase_pathway","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","dna_replication","0","0.110","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","rump_cycle_and_formaldehyde_assimilation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","genes_of_meiotic_recombination","0","0.049","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","mannose_degradation","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","tyrosine_biosynthesis","1","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycerophospholipid_metabolism","0","0.087","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sphingolipid_metabolism","0","0.058","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","basal_transcription_factors","0","0.072","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glucose-1-phosphate_metabolism","0","0.012","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","superpathway_of_heme_and_siroheme_biosynthesis","1","0.031","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","peroxisome","0","0.095","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","lactose_degradation","0","0.022","0.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","glycine_cleavage_complex","0","0.009","0.000"
