"Weight set: ","[0.0, 0.1, 0.0, 0.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"adenine_ribonucleotide_biosynthesis,_imp_=>_adp,atp","metabolic_pathways","0.214","0.006","0.895","0.000","0.090"
"aminoacyl-trna_biosynthesis,_eukaryotes","metabolic_pathways","0.345","0.011","1.000","0.000","0.100"
"apc/c_complex","metabolic_pathways","0.286","0.009","0.975","0.000","0.097"
"assimilatory_sulfate_reduction,_sulfate_=>_h2s","metabolic_pathways","0.278","0.008","0.756","0.000","0.076"
"beta-oxidation,_acyl-coa_synthesis","metabolic_pathways","0.417","0.014","0.676","0.000","0.068"
"c1-unit_interconversion,_eukaryotes","metabolic_pathways","0.250","0.007","0.676","0.000","0.068"
"c10-c20_isoprenoid_biosynthesis,_non-plant_eukaryotes","metabolic_pathways","0.262","0.008","0.571","0.000","0.057"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","metabolic_pathways","0.353","0.011","0.895","0.000","0.090"
"camp_signaling","metabolic_pathways","0.286","0.009","0.816","0.000","0.082"
"cap_binding_complex","metabolic_pathways","0.357","0.011","0.431","0.000","0.043"
"cell_cycle_-_g1/s_transition","metabolic_pathways","0.333","0.010","0.816","0.000","0.082"
"cell_cycle_-_g2/m_transition","metabolic_pathways","0.333","0.010","0.816","0.000","0.082"
"citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","metabolic_pathways","0.169","0.004","0.921","0.000","0.092"
"citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","metabolic_pathways","0.148","0.003","0.992","0.000","0.099"
"citrate_cycle_(tca_cycle,_krebs_cycle)","metabolic_pathways","0.267","0.008","0.999","0.000","0.100"
"coenzyme_a_biosynthesis,_pantothenate_=>_coa","metabolic_pathways","0.375","0.012","0.756","0.000","0.076"
"copii_complex","metabolic_pathways","0.286","0.009","0.756","0.000","0.076"
"cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","metabolic_pathways","0.167","0.004","0.431","0.000","0.043"
"cytochrome_bc1_complex","metabolic_pathways","0.375","0.012","0.975","0.000","0.097"
"cytochrome_bc1_complex_respiratory_unit","metabolic_pathways","0.345","0.011","0.816","0.000","0.082"
"decapping_complex","metabolic_pathways","0.385","0.012","0.756","0.000","0.076"
"dna_damage-induced_cell_cycle_checkpoints","metabolic_pathways","0.242","0.007","0.756","0.000","0.076"
"dna_polymerase_alpha_/_primase_complex","metabolic_pathways","0.267","0.008","0.676","0.000","0.068"
"dna_polymerase_epsilon_complex","metabolic_pathways","0.250","0.007","0.756","0.000","0.076"
"dna_polymerase_zeta  complex","metabolic_pathways","0.273","0.008","0.431","0.000","0.043"
"eif4f_complex","metabolic_pathways","0.286","0.009","0.756","0.000","0.076"
"ergocalciferol_biosynthesis","metabolic_pathways","0.421","0.014","0.756","0.000","0.076"
"escrt-0_complex","metabolic_pathways","0.286","0.009","0.431","0.000","0.043"
"escrt-ii_complex","metabolic_pathways","0.385","0.012","0.571","0.000","0.057"
"escrt-iii_complex","metabolic_pathways","0.385","0.012","0.895","0.000","0.090"
"exosome,_archaea","metabolic_pathways","0.500","0.017","0.676","0.000","0.068"
"exosome,_eukaryotes","metabolic_pathways","0.462","0.015","0.940","0.000","0.094"
"f-type_atpase,_eukaryotes","metabolic_pathways","0.389","0.013","0.992","0.000","0.099"
"fatty_acid_biosynthesis,_elongation","metabolic_pathways","0.296","0.009","0.571","0.000","0.057"
"fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","metabolic_pathways","0.208","0.006","0.816","0.000","0.082"
"fatty_acid_biosynthesis,_initiation","metabolic_pathways","0.296","0.009","0.756","0.000","0.076"
"gaba_(gamma-aminobutyrate)_shunt","metabolic_pathways","0.280","0.008","0.571","0.000","0.057"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","metabolic_pathways","0.250","0.007","0.676","0.000","0.068"
"gins_complex","metabolic_pathways","0.200","0.005","0.676","0.000","0.068"
"gluconeogenesis,_oxaloacetate_=>_fructose-6p","metabolic_pathways","0.222","0.006","0.994","0.000","0.099"
"glycolysis,_core_module_involving_three-carbon_compounds","metabolic_pathways","0.217","0.006","0.992","0.000","0.099"
"glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","metabolic_pathways","0.267","0.008","0.999","0.000","0.100"
"glyoxylate_cycle","metabolic_pathways","0.385","0.012","0.955","0.000","0.096"
"gpi-anchor_biosynthesis,_core_oligosaccharide","metabolic_pathways","0.250","0.007","0.895","0.000","0.090"
"guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","metabolic_pathways","0.220","0.006","0.895","0.000","0.090"
"h/aca_ribonucleoprotein_complex","metabolic_pathways","0.292","0.009","0.676","0.000","0.068"
"histidine_biosynthesis,_prpp_=>_histidine","metabolic_pathways","0.242","0.007","0.861","0.000","0.086"
"holo-tfiih_complex","metabolic_pathways","0.385","0.012","0.940","0.000","0.094"
"inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","metabolic_pathways","0.180","0.005","0.921","0.000","0.092"
"isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","metabolic_pathways","0.158","0.004","0.895","0.000","0.090"
"leucine_biosynthesis,_2-oxoisovalerate_=>_2-oxoisocaproate","metabolic_pathways","0.184","0.005","0.676","0.000","0.068"
"lsm_1-7_complex","metabolic_pathways","0.200","0.005","0.861","0.000","0.086"
"lsm_2-8_complex","metabolic_pathways","0.200","0.005","0.861","0.000","0.086"
"lysine_biosynthesis,_2-oxoglutarate_=>_2-oxoadipate","metabolic_pathways","0.186","0.005","0.756","0.000","0.076"
"lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","metabolic_pathways","0.206","0.006","0.921","0.000","0.092"
"mcm_complex","metabolic_pathways","0.286","0.009","0.816","0.000","0.082"
"methionine_salvage_pathway","metabolic_pathways","1.000","0.036","0.940","0.000","0.094"
"mrx_complex","metabolic_pathways","0.200","0.005","0.571","0.000","0.057"
