"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"adenine_ribonucleotide_biosynthesis,_imp_=>_adp,atp","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","26.000","0.658","0.985","1.000","0.658"
"aminoacyl-trna_biosynthesis,_eukaryotes","aminoacyl-trna_biosynthesis","27.000","0.684","0.575","0.997","0.684"
"apc/c_complex","glycine_cleavage_complex","10.000","0.237","0.985","1.000","0.237"
"assimilatory_sulfate_reduction,_sulfate_=>_h2s","superpathway_of_leucine,_isoleucine,_and_valine_biosynthesis","21.000","0.526","0.979","1.000","0.526"
"beta-oxidation,_acyl-coa_synthesis","superpathway_of_leucine,_isoleucine,_and_valine_biosynthesis","22.000","0.553","0.983","1.000","0.553"
"c1-unit_interconversion,_eukaryotes","pentose_and_glucuronate_interconversions","21.000","0.526","0.985","1.000","0.526"
"c10-c20_isoprenoid_biosynthesis,_non-plant_eukaryotes","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","26.000","0.658","0.994","1.000","0.658"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","32.000","0.816","0.985","1.000","0.816"
"camp_signaling","mapk_signaling_pathway","12.000","0.289","0.874","0.999","0.289"
"cap_binding_complex","colanic_acid_building_blocks_biosynthesis","13.000","0.316","0.995","0.000","0.316"
"cell_cycle_-_g1/s_transition","cell_cycle_and_cell_division","17.000","0.421","0.780","0.000","0.421"
"cell_cycle_-_g2/m_transition","rump_cycle_and_formaldehyde_assimilation","17.000","0.421","0.991","0.000","0.421"
"citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","27.000","0.684","0.986","1.000","0.684"
"citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","26.000","0.658","0.974","1.000","0.658"
"citrate_cycle_(tca_cycle,_krebs_cycle)","citrate_cycle_(tca_cycle)","25.000","0.632","0.714","0.980","0.632"
"coenzyme_a_biosynthesis,_pantothenate_=>_coa","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","24.000","0.605","0.990","1.000","0.605"
"copii_complex","glycine_cleavage_complex","10.000","0.237","0.994","1.000","0.237"
"cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","cysteine_biosynthesis/homocysteine_degradation","39.000","1.000","0.998","1.000","1.000"
"cytochrome_bc1_complex","pyruvate_dehydrogenase_complex","14.000","0.342","0.980","1.000","0.342"
"cytochrome_bc1_complex_respiratory_unit","aerobic_respiration,_electron_transport_chain","18.000","0.447","0.939","0.999","0.447"
"decapping_complex","glycine_cleavage_complex","12.000","0.289","0.994","1.000","0.289"
"dna_damage-induced_cell_cycle_checkpoints","salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","19.000","0.474","0.994","1.000","0.474"
"dna_polymerase_alpha_/_primase_complex","salvage_pathways_of_purines_and_their_nucleosides","19.000","0.474","0.986","1.000","0.474"
"dna_polymerase_epsilon_complex","pyruvate_dehydrogenase_complex","17.000","0.421","0.992","1.000","0.421"
