"kegg","wikipathways","LCS","Gene Agreement","GenePair Agreement"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_cytoplasmic_trna_synthetases_wp219_76236","17","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_trehalose_biosynthesis_wp239_70272","20","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","23","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_fatty_acid_elongation,_unsaturated_wp16_71346","17","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_upiquinone_q_prenylation_wp287_69848","15","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_anaerobic_respiration_wp575_73676","14","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","25","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","22","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_allantoin_degradation_wp328_71348","13","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_sulfur_degradation_wp440_69875","12","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","21","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_pentose_phosphate_pathway_wp369_69863","21","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","17","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_eukaryotic_transcription_initiation_wp425_77440","16","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_sulfate_assimilation_pathway_ii_wp579_70251","20","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","21","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_methionine_degradation_wp46_69881","15","0.990","1.000"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","sc_threonine_and_methionine_biosynthesis_wp423_69874","22","0.990","1.000"
