"wikipathways","kegg","LCS","Gene Agreement","GenePair Agreement"
"sc_cytoplasmic_trna_synthetases_wp219_76236","c5_isoprenoid_biosynthesis,_mevalonate_pathway","17","0.093","0.015"
"sc_cytoplasmic_trna_synthetases_wp219_76236","gluconeogenesis,_oxaloacetate_=>_fructose-6p","14","0.197","0.081"
"sc_cytoplasmic_trna_synthetases_wp219_76236","aminoacyl-trna_biosynthesis,_eukaryotes","18","0.357","0.294"
"sc_cytoplasmic_trna_synthetases_wp219_76236","scf-grr1_complex","8","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","16","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","n-glycan_biosynthesis,_high-mannose_type","15","0.125","0.030"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cell_cycle_-_g1/s_transition","12","0.070","0.008"
"sc_cytoplasmic_trna_synthetases_wp219_76236","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","18","0.104","0.020"
"sc_cytoplasmic_trna_synthetases_wp219_76236","succinate_dehydrogenase_(ubiquinone)","13","0.082","0.012"
"sc_cytoplasmic_trna_synthetases_wp219_76236","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","16","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","17","0.187","0.072"
"sc_cytoplasmic_trna_synthetases_wp219_76236","beta-oxidation,_acyl-coa_synthesis","15","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","escrt-0_complex","8","0.024","0.001"
"sc_cytoplasmic_trna_synthetases_wp219_76236","proline_biosynthesis,_glutamate_=>_proline","16","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","21","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","glyoxylate_cycle","8","0.125","0.030"
"sc_cytoplasmic_trna_synthetases_wp219_76236","exosome,_archaea","8","0.047","0.003"
"sc_cytoplasmic_trna_synthetases_wp219_76236","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","18","0.093","0.015"
"sc_cytoplasmic_trna_synthetases_wp219_76236","camp_signaling","7","0.070","0.008"
"sc_cytoplasmic_trna_synthetases_wp219_76236","f-type_atpase,_eukaryotes","11","0.187","0.072"
"sc_cytoplasmic_trna_synthetases_wp219_76236","sphingosine_degradation","8","0.036","0.002"
"sc_cytoplasmic_trna_synthetases_wp219_76236","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","18","0.104","0.020"
"sc_cytoplasmic_trna_synthetases_wp219_76236","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","17","0.093","0.015"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","17","0.036","0.002"
