"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"wikipathways","kegg","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"sc_aerobic_glycerol_catabolism_wp224_71353","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","18","0.484","0.042","0.003","0.484"
"sc_allantoin_degradation_wp328_71348","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","21","0.581","0.013","0.000","0.581"
"sc_anaerobic_respiration_wp575_73676","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","17","0.452","0.008","0.000","0.452"
"sc_arginine_biosynthesis_wp275_69844","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.020","0.001","0.645"
"sc_arginine_degradation_wp54_70247","sphingosine_degradation","18","0.484","0.008","0.000","0.484"
"sc_asparagine_biosynthesis_wp67_71349","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.010","0.000","0.645"
"sc_asparagine_degradation_wp432_71892","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","19","0.516","0.018","0.000","0.516"
"sc_aspartate_biosynthesis_wp1518_76276","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","23","0.645","0.023","0.001","0.645"
"sc_carbon_monoxide_dehydrogenase_pathway_wp280_71352","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","23","0.645","0.063","0.004","0.645"
"sc_cell_cycle_and_cell_division_wp414_78393","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","20","0.548","0.745","0.959","0.548"
"sc_cholesterol_biosynthesis_wp132_77403","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23","0.645","0.035","0.002","0.645"
"sc_chorismate_biosynthesis_wp479_73732","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","24","0.677","0.045","0.002","0.677"
"sc_colanic_acid_building_blocks_biosynthesis_wp121_72199","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","25","0.710","0.035","0.002","0.710"
"sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","30","0.871","0.005","0.000","0.871"
"sc_cysteine_biosynthesis_from_homoserine_wp256_77328","cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","34","1.000","0.005","0.000","1.000"
"sc_cytoplasmic_ribosomal_proteins_wp210_70142","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","19","0.516","0.470","0.484","0.516"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","21","0.581","0.047","0.003","0.581"
"sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","29","0.839","0.030","0.001","0.839"
"sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","29","0.839","0.139","0.036","0.839"
