"Weight set: ","[0.8677033734624879, 0.4130305461314676, 0.8667630569664856, 0.7072453169057696]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"fatty_acid_oxidation","sc_cytoplasmic_trna_synthetases_wp219_76236","6","0.083","0.099","0.007","0.973"
"fatty_acid_oxidation","sc_trehalose_biosynthesis_wp239_70272","6","0.083","0.022","0.000","0.936"
"fatty_acid_oxidation","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","14","0.250","0.084","0.005","1.083"
"fatty_acid_oxidation","sc_fatty_acid_elongation,_unsaturated_wp16_71346","17","0.313","0.032","0.000","1.102"
"fatty_acid_oxidation","sc_upiquinone_q_prenylation_wp287_69848","8","0.125","0.032","0.001","0.970"
"fatty_acid_oxidation","sc_anaerobic_respiration_wp575_73676","10","0.167","0.011","0.000","0.990"
"fatty_acid_oxidation","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","15","0.271","0.058","0.002","1.085"
"fatty_acid_oxidation","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","10","0.167","0.037","0.001","1.002"
"fatty_acid_oxidation","sc_allantoin_degradation_wp328_71348","10","0.167","0.027","0.000","0.997"
"fatty_acid_oxidation","sc_sulfur_degradation_wp440_69875","9","0.146","0.022","0.000","0.980"
"fatty_acid_oxidation","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","10","0.167","0.037","0.001","1.002"
"fatty_acid_oxidation","sc_pentose_phosphate_pathway_wp369_69863","6","0.083","0.063","0.003","0.955"
"fatty_acid_oxidation","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","14","0.250","0.032","0.001","1.058"
"fatty_acid_oxidation","sc_eukaryotic_transcription_initiation_wp425_77440","13","0.229","0.156","0.019","1.111"
"fatty_acid_oxidation","sc_sulfate_assimilation_pathway_ii_wp579_70251","12","0.208","0.032","0.001","1.029"
"fatty_acid_oxidation","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","10","0.167","0.022","0.000","0.995"
"fatty_acid_oxidation","sc_methionine_degradation_wp46_69881","10","0.167","0.022","0.000","0.995"
"fatty_acid_oxidation","sc_threonine_and_methionine_biosynthesis_wp423_69874","10","0.167","0.043","0.001","1.004"
"fatty_acid_oxidation","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","9","0.146","0.133","0.013","1.037"
"fatty_acid_oxidation","sc_pentose_phosphate_pathway_2_wp670_73392","6","0.083","0.074","0.004","0.960"
"fatty_acid_oxidation","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","9","0.146","0.000","0.000","0.971"
"fatty_acid_oxidation","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","11","0.188","0.219","0.040","1.125"
"fatty_acid_oxidation","sc_asparagine_biosynthesis_wp67_71349","7","0.104","0.022","0.000","0.950"
"fatty_acid_oxidation","sc_phenylalanine_biosynthesis_wp194_69817","7","0.104","0.022","0.000","0.950"
"fatty_acid_oxidation","sc_tryptophan_biosynthesis_wp165_71899","7","0.104","0.032","0.001","0.955"
"fatty_acid_oxidation","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","10","0.167","0.022","0.000","0.995"
"fatty_acid_oxidation","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","11","0.188","0.011","0.000","1.005"
"fatty_acid_oxidation","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","10","0.167","0.063","0.003","1.014"
"fatty_acid_oxidation","sc_pathways_of_chorismate_wp213_71175","9","0.146","0.188","0.028","1.073"
"fatty_acid_oxidation","sc_tca_cycle_wp490_78394","4","0.042","0.166","0.022","0.984"
"fatty_acid_oxidation","sc_glucose_repression_wp2836_78395","6","0.083","0.109","0.008","0.978"
"fatty_acid_oxidation","sc_nucleotide_metabolism_wp321_71895","7","0.104","0.048","0.001","0.962"
"fatty_acid_oxidation","sc_arginine_degradation_wp54_70247","10","0.167","0.022","0.000","0.995"
"fatty_acid_oxidation","sc_isoleucine_and_valine_biosynthesis_wp359_69861","9","0.146","0.099","0.007","1.017"
"fatty_acid_oxidation","sc_fatty_acid_oxidation_wp91_71343","20","0.375","0.000","0.002","1.135"
"fatty_acid_oxidation","sc_p-cymene_degradation_wp181_69808","9","0.146","0.032","0.001","0.985"
"fatty_acid_oxidation","sc_tyrosine_biosynthesis_wp538_69941","7","0.104","0.022","0.000","0.950"
"fatty_acid_oxidation","sc_lipases_biosynthesis_wp71_70049","7","0.104","0.016","0.000","0.948"
"fatty_acid_oxidation","sc_glutamate_degradation_viii_wp99_70055","10","0.167","0.027","0.000","0.997"
"fatty_acid_oxidation","sc_threonine_biosynthesis_wp331_70271","7","0.104","0.027","0.000","0.953"
"fatty_acid_oxidation","sc_fatty_acid_elongation,_saturated_wp380_69867","17","0.313","0.032","0.001","1.102"
"fatty_acid_oxidation","sc_de_novo_nad_biosynthesis_wp541_69942","8","0.125","0.048","0.001","0.977"
"fatty_acid_oxidation","sc_protein_modifications_wp346_69859","10","0.167","0.063","0.003","1.014"
"fatty_acid_oxidation","sc_polyamine_biosynthesis_wp290_69849","7","0.104","0.022","0.000","0.950"
"fatty_acid_oxidation","sc_arginine_biosynthesis_wp275_69844","7","0.104","0.043","0.001","0.960"
"fatty_acid_oxidation","sc_valine_biosynthesis_wp2_78390","7","0.104","0.027","0.000","0.953"
"fatty_acid_oxidation","sc_sucrose_biosynthesis_wp14_69669","6","0.083","0.005","0.000","0.929"
"fatty_acid_oxidation","sc_serine-isocitrate_lyase_pathway_wp390_69869","7","0.104","0.089","0.006","0.983"
"fatty_acid_oxidation","sc_glutathione_biosynthesis_wp196_76277","7","0.104","0.011","0.000","0.946"
"fatty_acid_oxidation","sc_glycogen_catabolism_wp478_70263","6","0.083","0.022","0.000","0.936"
"fatty_acid_oxidation","sc_glutamate_degradation_vii_wp559_70041","10","0.167","0.048","0.001","1.007"
"fatty_acid_oxidation","sc_galactose_metabolism_wp549_69945","6","0.083","0.032","0.001","0.940"
"fatty_acid_oxidation","sc_aerobic_glycerol_catabolism_wp224_71353","8","0.125","0.089","0.006","0.998"
"fatty_acid_oxidation","sc_deoxyribose_phosphate_metabolism_wp228_69829","8","0.125","0.022","0.000","0.965"
"fatty_acid_oxidation","sc_gluconeogenesis_wp156_69762","5","0.063","0.037","0.001","0.928"
"fatty_acid_oxidation","sc_nad_biosynthesis_wp84_71345","7","0.104","0.016","0.000","0.948"
"fatty_acid_oxidation","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","10","0.167","0.043","0.001","1.004"
"fatty_acid_oxidation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.494","0.259","1.399"
"fatty_acid_oxidation","sc_udp-glucose_conversion_wp109_69750","7","0.104","0.027","0.000","0.953"
"fatty_acid_oxidation","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","9","0.146","0.058","0.002","0.997"
"fatty_acid_oxidation","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","10","0.167","0.099","0.007","1.032"
"fatty_acid_oxidation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","9","0.146","0.027","0.000","0.982"
"fatty_acid_oxidation","sc_leucine_biosynthesis_wp180_69807","7","0.104","0.032","0.001","0.955"
"fatty_acid_oxidation","sc_toluene_degradation_wp60_78389","9","0.146","0.032","0.001","0.985"
"fatty_acid_oxidation","sc_triglyceride_biosynthesis_wp266_69843","9","0.146","0.022","0.000","0.980"
"fatty_acid_oxidation","sc_glycolysis_wp253_69832","4","0.042","0.094","0.006","0.941"
"fatty_acid_oxidation","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","12","0.208","0.022","0.000","1.024"
"fatty_acid_oxidation","sc_proteasome_degradation_wp158_77442","9","0.146","0.184","0.027","1.070"
"fatty_acid_oxidation","sc_tryptophan_degradation_wp301_67723","10","0.167","0.063","0.003","1.014"
"fatty_acid_oxidation","sc_glucose-1-phosphate_metabolism_wp260_69835","6","0.083","0.022","0.000","0.936"
"fatty_acid_oxidation","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","12","0.208","0.063","0.003","1.044"
"fatty_acid_oxidation","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","10","0.167","0.109","0.008","1.037"
"fatty_acid_oxidation","sc_glutamate_biosynthesis_wp77_71350","7","0.104","0.037","0.001","0.958"
"fatty_acid_oxidation","sc_lactose_degradation_wp546_69943","10","0.167","0.037","0.001","1.002"
"fatty_acid_oxidation","sc_isoleucine_biosynthesis_wp250_69831","7","0.104","0.037","0.001","0.958"
"fatty_acid_oxidation","sc_glycolysis_and_gluconeogenesis_wp515_78397","8","0.125","0.202","0.033","1.068"
"fatty_acid_oxidation","sc_asparagine_degradation_wp432_71892","10","0.167","0.037","0.001","1.002"
"fatty_acid_oxidation","sc_tca_cycle_-_detailed_wp296_76239","7","0.104","0.113","0.009","0.996"
"fatty_acid_oxidation","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","9","0.146","0.022","0.000","0.980"
"fatty_acid_oxidation","sc_phenylalanine_degradation_wp573_74213","10","0.167","0.058","0.002","1.012"
"fatty_acid_oxidation","sc_purine_fermentation_wp463_73550","8","0.125","0.032","0.001","0.970"
"fatty_acid_oxidation","sc_serine_and_glycine_biosynthesis_wp218_69824","8","0.125","0.032","0.001","0.970"
"fatty_acid_oxidation","sc_histidine_biosynthesis_wp514_71894","7","0.104","0.053","0.002","0.965"
"fatty_acid_oxidation","sc_serine_biosynthesis_wp459_69877","6","0.083","0.022","0.000","0.936"
"fatty_acid_oxidation","sc_non-oxidative_branch_of_the_pentose_pathway_wp379_69866","11","0.188","0.053","0.002","1.024"
"fatty_acid_oxidation","sc_ubiquinone_biosynthesis_wp308_69850","6","0.083","0.053","0.002","0.950"
"fatty_acid_oxidation","sc_translation_factors_wp32_71347","7","0.104","0.179","0.026","1.038"
"fatty_acid_oxidation","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","10","0.167","0.032","0.001","0.999"
"fatty_acid_oxidation","sc_colanic_acid_building_blocks_biosynthesis_wp121_72199","12","0.208","0.037","0.001","1.031"
"fatty_acid_oxidation","sc_phospholipid_biosynthesis_wp9_69581","8","0.125","0.048","0.001","0.977"
"fatty_acid_oxidation","sc_sphingolipid_metabolism_wp370_76472","7","0.104","0.104","0.008","0.991"
"fatty_acid_oxidation","sc_xylulose-monophosphate_cycle_wp361_69862","5","0.063","0.027","0.000","0.923"
"fatty_acid_oxidation","sc_principle_pathways_of_carbon_metabolism_wp112_78138","8","0.125","0.366","0.128","1.218"
"fatty_acid_oxidation","sc_glutamate_degradation_iii_wp503_69932","10","0.167","0.027","0.000","0.997"
"fatty_acid_oxidation","sc_chorismate_biosynthesis_wp479_73732","9","0.146","0.043","0.001","0.989"
"fatty_acid_oxidation","sc_glutamate_degradation_i_wp556_69958","10","0.167","0.016","0.000","0.992"
"fatty_acid_oxidation","sc_leucine_degradation_wp354_70265","10","0.167","0.022","0.000","0.995"
"fatty_acid_oxidation","sc_dna_replication_wp13_78398","9","0.146","0.341","0.102","1.200"
"fatty_acid_oxidation","sc_genes_of_meiotic_recombination_wp377_69605","11","0.188","0.099","0.007","1.047"
"fatty_acid_oxidation","sc_carbon_monoxide_dehydrogenase_pathway_wp280_71352","9","0.146","0.032","0.000","0.984"
"fatty_acid_oxidation","sc_nad_salvage_pathway_wp171_73683","6","0.083","0.032","0.001","0.940"
"fatty_acid_oxidation","sc_aspartate_biosynthesis_wp1518_76276","8","0.125","0.022","0.000","0.965"
"fatty_acid_oxidation","sc_glycine_degradation_wp345_71005","10","0.167","0.048","0.001","1.006"
"fatty_acid_oxidation","sc_pyruvate_dehydrogenase_pathway_wp214_69823","7","0.104","0.022","0.000","0.950"
"fatty_acid_oxidation","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","11","0.188","0.016","0.000","1.007"
"fatty_acid_oxidation","sc_cholesterol_biosynthesis_wp132_77403","7","0.104","0.074","0.004","0.975"
"fatty_acid_oxidation","sc_lysine_biosynthesis_wp533_69940","6","0.083","0.043","0.001","0.945"
"fatty_acid_oxidation","sc_glycine_biosynthesis_wp261_77412","7","0.104","0.022","0.000","0.950"
"fatty_acid_oxidation","sc_octane_oxidation_wp552_69954","12","0.208","0.000","0.000","1.015"
"fatty_acid_oxidation","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","10","0.167","0.032","0.001","0.999"
"fatty_acid_oxidation","sc_folic_acid_biosynthesis_wp555_69957","10","0.167","0.079","0.004","1.021"
"fatty_acid_oxidation","sc_sulfur_amino_acid_biosynthesis_wp7_70252","11","0.188","0.074","0.004","1.034"
"fatty_acid_oxidation","sc_isoleucine_degradation_wp178_69780","10","0.167","0.037","0.001","1.002"
"fatty_acid_oxidation","sc_tryptophan_degradation_via_kynurenine_wp452_70274","10","0.167","0.032","0.001","0.999"
