"Weight set: ","[0.00901413316794486, 0.31051462633709526, 0.2167698714962747, 0.7032772432533334]"
"wikipathways","kegg","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"sc_cytoplasmic_trna_synthetases_wp219_76236","c5_isoprenoid_biosynthesis,_mevalonate_pathway","17.000","0.452","0.907","0.985","0.822"
"sc_cytoplasmic_trna_synthetases_wp219_76236","gluconeogenesis,_oxaloacetate_=>_fructose-6p","14.000","0.355","0.803","0.919","0.707"
"sc_cytoplasmic_trna_synthetases_wp219_76236","aminoacyl-trna_biosynthesis,_eukaryotes","18.000","0.484","0.643","0.706","0.702"
"sc_cytoplasmic_trna_synthetases_wp219_76236","scf-grr1_complex","8.000","0.161","0.953","0.997","0.634"
"sc_cytoplasmic_trna_synthetases_wp219_76236","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","16.000","0.419","0.953","0.997","0.816"
"sc_cytoplasmic_trna_synthetases_wp219_76236","n-glycan_biosynthesis,_high-mannose_type","15.000","0.387","0.875","0.970","0.763"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cell_cycle_-_g1/s_transition","12.000","0.290","0.930","0.992","0.717"
"sc_cytoplasmic_trna_synthetases_wp219_76236","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","18.000","0.484","0.896","0.980","0.840"
"sc_cytoplasmic_trna_synthetases_wp219_76236","succinate_dehydrogenase_(ubiquinone)","13.000","0.323","0.918","0.988","0.735"
"sc_cytoplasmic_trna_synthetases_wp219_76236","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","16.000","0.419","0.953","0.997","0.816"
"sc_cytoplasmic_trna_synthetases_wp219_76236","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","17.000","0.452","0.813","0.928","0.780"
"sc_cytoplasmic_trna_synthetases_wp219_76236","beta-oxidation,_acyl-coa_synthesis","15.000","0.387","0.953","0.997","0.793"
"sc_cytoplasmic_trna_synthetases_wp219_76236","escrt-0_complex","8.000","0.161","0.976","0.999","0.642"
"sc_cytoplasmic_trna_synthetases_wp219_76236","proline_biosynthesis,_glutamate_=>_proline","16.000","0.419","0.953","0.997","0.816"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","21.000","0.581","0.953","0.997","0.929"
"sc_cytoplasmic_trna_synthetases_wp219_76236","glyoxylate_cycle","8.000","0.161","0.875","0.970","0.604"
"sc_cytoplasmic_trna_synthetases_wp219_76236","exosome,_archaea","8.000","0.161","0.953","0.997","0.634"
"sc_cytoplasmic_trna_synthetases_wp219_76236","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","18.000","0.484","0.907","0.985","0.844"
"sc_cytoplasmic_trna_synthetases_wp219_76236","camp_signaling","7.000","0.129","0.930","0.992","0.603"
"sc_cytoplasmic_trna_synthetases_wp219_76236","f-type_atpase,_eukaryotes","11.000","0.258","0.813","0.928","0.644"
"sc_cytoplasmic_trna_synthetases_wp219_76236","sphingosine_degradation","8.000","0.161","0.964","0.998","0.638"
"sc_cytoplasmic_trna_synthetases_wp219_76236","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","18.000","0.484","0.896","0.980","0.840"
"sc_cytoplasmic_trna_synthetases_wp219_76236","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","17.000","0.452","0.907","0.985","0.822"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","17.000","0.452","0.964","0.998","0.842"
"sc_cytoplasmic_trna_synthetases_wp219_76236","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","18.000","0.484","0.918","0.988","0.849"
"sc_cytoplasmic_trna_synthetases_wp219_76236","ski_complex","7.000","0.129","0.964","0.998","0.616"
"sc_cytoplasmic_trna_synthetases_wp219_76236","mrx_complex","6.000","0.097","0.964","0.998","0.593"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","21.000","0.581","0.964","0.998","0.933"
"sc_cytoplasmic_trna_synthetases_wp219_76236","lsm_1-7_complex","7.000","0.129","0.918","0.988","0.599"
"sc_cytoplasmic_trna_synthetases_wp219_76236","glycolysis,_core_module_involving_three-carbon_compounds","15.000","0.387","0.813","0.928","0.735"
"sc_cytoplasmic_trna_synthetases_wp219_76236","sm_core_complex","8.000","0.161","0.918","0.988","0.622"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cell_cycle_-_g2/m_transition","12.000","0.290","0.930","0.992","0.717"
"sc_cytoplasmic_trna_synthetases_wp219_76236","dna_polymerase_alpha_/_primase_complex","13.000","0.323","0.953","0.997","0.748"
"sc_cytoplasmic_trna_synthetases_wp219_76236","decapping_complex","7.000","0.129","0.941","0.995","0.608"
"sc_cytoplasmic_trna_synthetases_wp219_76236","sec61_complex","8.000","0.161","0.941","0.995","0.630"
"sc_cytoplasmic_trna_synthetases_wp219_76236","mcm_complex","7.000","0.129","0.930","0.992","0.603"
"sc_cytoplasmic_trna_synthetases_wp219_76236","spliceosome,_u1-snrnp","10.000","0.226","0.896","0.980","0.659"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cap_binding_complex","7.000","0.129","0.976","0.999","0.619"
"sc_cytoplasmic_trna_synthetases_wp219_76236","h/aca_ribonucleoprotein_complex","10.000","0.226","0.953","0.997","0.680"
"sc_cytoplasmic_trna_synthetases_wp219_76236","origin_recognition_complex","8.000","0.161","0.930","0.992","0.626"
"sc_cytoplasmic_trna_synthetases_wp219_76236","n-glycan_precursor_trimming","8.000","0.161","0.953","0.997","0.634"
"sc_cytoplasmic_trna_synthetases_wp219_76236","gins_complex","7.000","0.129","0.953","0.997","0.612"
"sc_cytoplasmic_trna_synthetases_wp219_76236","tetrahydrofolate_biosynthesis,_gtp_=>_thf","17.000","0.452","0.918","0.988","0.826"
"sc_cytoplasmic_trna_synthetases_wp219_76236","lsm_2-8_complex","7.000","0.129","0.918","0.988","0.599"
"sc_cytoplasmic_trna_synthetases_wp219_76236","proteasome,_19s_regulatory_particle_(pa700)","13.000","0.323","0.793","0.910","0.679"
"sc_cytoplasmic_trna_synthetases_wp219_76236","rf-c_complex","7.000","0.129","0.941","0.995","0.608"
"sc_cytoplasmic_trna_synthetases_wp219_76236","lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","18.000","0.484","0.896","0.980","0.840"
"sc_cytoplasmic_trna_synthetases_wp219_76236","threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","17.000","0.452","0.941","0.995","0.834"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","18.000","0.484","0.976","0.999","0.869"
"sc_cytoplasmic_trna_synthetases_wp219_76236","holo-tfiih_complex","6.000","0.097","0.885","0.976","0.563"
"sc_cytoplasmic_trna_synthetases_wp219_76236","serine_biosynthesis,_glycerate-3p_=>_serine","15.000","0.387","0.953","0.997","0.793"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cytochrome_bc1_complex","10.000","0.226","0.854","0.958","0.641"
"sc_cytoplasmic_trna_synthetases_wp219_76236","escrt-iii_complex","8.000","0.161","0.907","0.985","0.618"
"sc_cytoplasmic_trna_synthetases_wp219_76236","sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","15.000","0.387","0.953","0.997","0.793"
"sc_cytoplasmic_trna_synthetases_wp219_76236","pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","19.000","0.516","0.930","0.992","0.876"
"sc_cytoplasmic_trna_synthetases_wp219_76236","valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","18.000","0.484","0.930","0.992","0.853"
"sc_cytoplasmic_trna_synthetases_wp219_76236","c1-unit_interconversion,_eukaryotes","12.000","0.290","0.953","0.997","0.725"
"sc_cytoplasmic_trna_synthetases_wp219_76236","lysine_biosynthesis,_2-oxoglutarate_=>_2-oxoadipate","17.000","0.452","0.941","0.995","0.834"
"sc_cytoplasmic_trna_synthetases_wp219_76236","gaba_(gamma-aminobutyrate)_shunt","11.000","0.258","0.964","0.998","0.706"
"sc_cytoplasmic_trna_synthetases_wp219_76236","n-glycosylation_by_oligosaccharyltransferase","15.000","0.387","0.896","0.980","0.772"
"sc_cytoplasmic_trna_synthetases_wp219_76236","coenzyme_a_biosynthesis,_pantothenate_=>_coa","17.000","0.452","0.941","0.995","0.834"
"sc_cytoplasmic_trna_synthetases_wp219_76236","fatty_acid_biosynthesis,_initiation","13.000","0.323","0.941","0.995","0.744"
"sc_cytoplasmic_trna_synthetases_wp219_76236","gpi-anchor_biosynthesis,_core_oligosaccharide","15.000","0.387","0.907","0.985","0.776"
"sc_cytoplasmic_trna_synthetases_wp219_76236","pentose_phosphate_pathway_(pentose_phosphate_cycle)","16.000","0.419","0.843","0.951","0.772"
"sc_cytoplasmic_trna_synthetases_wp219_76236","adenine_ribonucleotide_biosynthesis,_imp_=>_adp,atp","17.000","0.452","0.907","0.985","0.822"
"sc_cytoplasmic_trna_synthetases_wp219_76236","pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","18.000","0.484","0.953","0.997","0.861"
"sc_cytoplasmic_trna_synthetases_wp219_76236","fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","16.000","0.419","0.930","0.992","0.808"
"sc_cytoplasmic_trna_synthetases_wp219_76236","p97-ufd1-npl4_complex","6.000","0.097","0.964","0.998","0.593"
"sc_cytoplasmic_trna_synthetases_wp219_76236","nucleotide_sugar_biosynthesis,_galactose_=>_udp-galactose","17.000","0.452","0.964","0.998","0.842"
"sc_cytoplasmic_trna_synthetases_wp219_76236","citrate_cycle_(tca_cycle,_krebs_cycle)","14.000","0.355","0.728","0.836","0.666"
"sc_cytoplasmic_trna_synthetases_wp219_76236","glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","15.000","0.387","0.728","0.836","0.688"
"sc_cytoplasmic_trna_synthetases_wp219_76236","methionine_salvage_pathway","10.000","0.226","0.885","0.976","0.654"
"sc_cytoplasmic_trna_synthetases_wp219_76236","apc/c_complex","7.000","0.129","0.854","0.958","0.572"
"sc_cytoplasmic_trna_synthetases_wp219_76236","rna_polymerase_ii,_eukaryotes","12.000","0.290","0.864","0.964","0.691"
"sc_cytoplasmic_trna_synthetases_wp219_76236","ornithine_biosynthesis,_glutamate_=>_ornithine","16.000","0.419","0.953","0.997","0.816"
"sc_cytoplasmic_trna_synthetases_wp219_76236","assimilatory_sulfate_reduction,_sulfate_=>_h2s","16.000","0.419","0.941","0.995","0.812"
"sc_cytoplasmic_trna_synthetases_wp219_76236","eif4f_complex","6.000","0.097","0.941","0.995","0.585"
"sc_cytoplasmic_trna_synthetases_wp219_76236","uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","18.000","0.484","0.907","0.985","0.844"
"sc_cytoplasmic_trna_synthetases_wp219_76236","prpp_biosynthesis,_ribose_5p_=>_prpp","14.000","0.355","0.941","0.995","0.766"
"sc_cytoplasmic_trna_synthetases_wp219_76236","dna_damage-induced_cell_cycle_checkpoints","12.000","0.290","0.941","0.995","0.721"
"sc_cytoplasmic_trna_synthetases_wp219_76236","copii_complex","7.000","0.129","0.941","0.995","0.608"
"sc_cytoplasmic_trna_synthetases_wp219_76236","ergocalciferol_biosynthesis","13.000","0.323","0.941","0.995","0.744"
"sc_cytoplasmic_trna_synthetases_wp219_76236","rna_polymerase_iii,_eukaryotes","12.000","0.290","0.823","0.936","0.672"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","17.000","0.452","0.976","0.999","0.846"
"sc_cytoplasmic_trna_synthetases_wp219_76236","scf-met30_complex","8.000","0.161","0.953","0.997","0.634"
"sc_cytoplasmic_trna_synthetases_wp219_76236","phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","16.000","0.419","0.964","0.998","0.820"
"sc_cytoplasmic_trna_synthetases_wp219_76236","tramp_complex","6.000","0.097","0.941","0.995","0.585"
"sc_cytoplasmic_trna_synthetases_wp219_76236","histidine_biosynthesis,_prpp_=>_histidine","16.000","0.419","0.918","0.988","0.803"
"sc_cytoplasmic_trna_synthetases_wp219_76236","ribosome,_eukaryotes","9.000","0.194","0.171","0.005","0.199"
"sc_cytoplasmic_trna_synthetases_wp219_76236","escrt-ii_complex","8.000","0.161","0.964","0.998","0.638"
"sc_cytoplasmic_trna_synthetases_wp219_76236","tryptophan_biosynthesis,_chorismate_=>_tryptophan","17.000","0.452","0.941","0.995","0.834"
"sc_cytoplasmic_trna_synthetases_wp219_76236","proteasome,_20s_core_particle","10.000","0.226","0.843","0.951","0.636"
"sc_cytoplasmic_trna_synthetases_wp219_76236","c10-c20_isoprenoid_biosynthesis,_non-plant_eukaryotes","18.000","0.484","0.964","0.998","0.865"
"sc_cytoplasmic_trna_synthetases_wp219_76236","nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","16.000","0.419","0.875","0.970","0.786"
"sc_cytoplasmic_trna_synthetases_wp219_76236","fatty_acid_biosynthesis,_elongation","13.000","0.323","0.964","0.998","0.752"
"sc_cytoplasmic_trna_synthetases_wp219_76236","rna_polymerase_i,_eukaryotes","12.000","0.290","0.843","0.951","0.681"
"sc_cytoplasmic_trna_synthetases_wp219_76236","exosome,_eukaryotes","9.000","0.194","0.885","0.976","0.632"
"sc_cytoplasmic_trna_synthetases_wp219_76236","dna_polymerase_epsilon_complex","12.000","0.290","0.941","0.995","0.721"
"sc_cytoplasmic_trna_synthetases_wp219_76236","leucine_biosynthesis,_2-oxoisovalerate_=>_2-oxoisocaproate","16.000","0.419","0.953","0.997","0.816"
"sc_cytoplasmic_trna_synthetases_wp219_76236","n-glycan_precursor_biosynthesis","14.000","0.355","0.854","0.958","0.731"
"sc_cytoplasmic_trna_synthetases_wp219_76236","cytochrome_bc1_complex_respiratory_unit","13.000","0.323","0.930","0.992","0.740"
"sc_cytoplasmic_trna_synthetases_wp219_76236","dna_polymerase_zeta  complex","11.000","0.258","0.976","0.999","0.710"
"sc_cytoplasmic_trna_synthetases_wp219_76236","polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","17.000","0.452","0.976","0.999","0.846"
"sc_cytoplasmic_trna_synthetases_wp219_76236","ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","15.000","0.387","0.941","0.995","0.789"
"sc_cytoplasmic_trna_synthetases_wp219_76236","pyruvate_oxidation,_pyruvate_=>_acetyl-coa","12.000","0.290","0.941","0.995","0.721"
"sc_cytoplasmic_trna_synthetases_wp219_76236","scf-cdc4_complex","8.000","0.161","0.953","0.997","0.634"
"sc_trehalose_biosynthesis_wp239_70272","c5_isoprenoid_biosynthesis,_mevalonate_pathway","20.000","0.548","0.980","0.999","0.916"
"sc_trehalose_biosynthesis_wp239_70272","gluconeogenesis,_oxaloacetate_=>_fructose-6p","11.000","0.258","0.955","0.997","0.703"
"sc_trehalose_biosynthesis_wp239_70272","aminoacyl-trna_biosynthesis,_eukaryotes","18.000","0.484","0.912","0.988","0.847"
"sc_trehalose_biosynthesis_wp239_70272","scf-grr1_complex","6.000","0.097","0.990","1.000","0.601"
"sc_trehalose_biosynthesis_wp239_70272","shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","15.000","0.387","0.990","1.000","0.805"
"sc_trehalose_biosynthesis_wp239_70272","n-glycan_biosynthesis,_high-mannose_type","17.000","0.452","0.972","0.999","0.845"
"sc_trehalose_biosynthesis_wp239_70272","cell_cycle_-_g1/s_transition","9.000","0.194","0.985","1.000","0.668"
"sc_trehalose_biosynthesis_wp239_70272","citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","16.000","0.419","0.977","0.999","0.824"
"sc_trehalose_biosynthesis_wp239_70272","succinate_dehydrogenase_(ubiquinone)","14.000","0.355","0.982","1.000","0.780"
"sc_trehalose_biosynthesis_wp239_70272","galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","15.000","0.387","0.990","1.000","0.805"
"sc_trehalose_biosynthesis_wp239_70272","citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","16.000","0.419","0.958","0.997","0.817"
"sc_trehalose_biosynthesis_wp239_70272","beta-oxidation,_acyl-coa_synthesis","14.000","0.355","0.990","1.000","0.783"
"sc_trehalose_biosynthesis_wp239_70272","escrt-0_complex","6.000","0.097","0.995","1.000","0.603"
"sc_trehalose_biosynthesis_wp239_70272","proline_biosynthesis,_glutamate_=>_proline","18.000","0.484","0.990","1.000","0.873"
"sc_trehalose_biosynthesis_wp239_70272","phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","23.000","0.645","0.990","1.000","0.987"
"sc_trehalose_biosynthesis_wp239_70272","glyoxylate_cycle","6.000","0.097","0.972","0.999","0.596"
"sc_trehalose_biosynthesis_wp239_70272","exosome,_archaea","7.000","0.129","0.990","1.000","0.624"
"sc_trehalose_biosynthesis_wp239_70272","isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","19.000","0.516","0.980","0.999","0.893"
"sc_trehalose_biosynthesis_wp239_70272","camp_signaling","6.000","0.097","0.985","1.000","0.600"
"sc_trehalose_biosynthesis_wp239_70272","f-type_atpase,_eukaryotes","10.000","0.226","0.958","0.997","0.681"
"sc_trehalose_biosynthesis_wp239_70272","sphingosine_degradation","9.000","0.194","0.992","1.000","0.670"
"sc_trehalose_biosynthesis_wp239_70272","inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","22.000","0.613","0.977","0.999","0.960"
"sc_trehalose_biosynthesis_wp239_70272","guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","21.000","0.581","0.980","0.999","0.938"
"sc_trehalose_biosynthesis_wp239_70272","phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","21.000","0.581","0.992","1.000","0.942"
"sc_trehalose_biosynthesis_wp239_70272","pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","17.000","0.452","0.982","1.000","0.848"
"sc_trehalose_biosynthesis_wp239_70272","ski_complex","4.000","0.032","0.992","1.000","0.557"
"sc_trehalose_biosynthesis_wp239_70272","mrx_complex","4.000","0.032","0.992","1.000","0.557"
"sc_trehalose_biosynthesis_wp239_70272","phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","22.000","0.613","0.992","1.000","0.965"
"sc_trehalose_biosynthesis_wp239_70272","lsm_1-7_complex","5.000","0.065","0.982","1.000","0.576"
"sc_trehalose_biosynthesis_wp239_70272","glycolysis,_core_module_involving_three-carbon_compounds","15.000","0.387","0.958","0.997","0.795"
"sc_trehalose_biosynthesis_wp239_70272","sm_core_complex","7.000","0.129","0.982","1.000","0.621"
"sc_trehalose_biosynthesis_wp239_70272","cell_cycle_-_g2/m_transition","9.000","0.194","0.985","1.000","0.668"
"sc_trehalose_biosynthesis_wp239_70272","dna_polymerase_alpha_/_primase_complex","11.000","0.258","0.990","1.000","0.715"
"sc_trehalose_biosynthesis_wp239_70272","decapping_complex","6.000","0.097","0.987","1.000","0.600"
"sc_trehalose_biosynthesis_wp239_70272","sec61_complex","5.000","0.065","0.987","1.000","0.578"
"sc_trehalose_biosynthesis_wp239_70272","mcm_complex","4.000","0.032","0.985","1.000","0.554"
"sc_trehalose_biosynthesis_wp239_70272","spliceosome,_u1-snrnp","10.000","0.226","0.977","0.999","0.688"
"sc_trehalose_biosynthesis_wp239_70272","cap_binding_complex","9.000","0.194","0.995","1.000","0.671"
"sc_trehalose_biosynthesis_wp239_70272","h/aca_ribonucleoprotein_complex","11.000","0.258","0.990","1.000","0.715"
"sc_trehalose_biosynthesis_wp239_70272","origin_recognition_complex","9.000","0.194","0.985","1.000","0.668"
