Identifier	Database
856891	Entrez Gene
856201	Entrez Gene
852497	Entrez Gene
852766	Entrez Gene
855267	Entrez Gene
855276	Entrez Gene
851723	Entrez Gene
854875	Entrez Gene
853807	Entrez Gene
852888	Entrez Gene
851450	Entrez Gene
856169	Entrez Gene
855981	Entrez Gene
854663	Entrez Gene
856918	Entrez Gene
856119	Entrez Gene
854382	Entrez Gene
851415	Entrez Gene
856317	Entrez Gene
854791	Entrez Gene
852451	Entrez Gene
853713	Entrez Gene
851615	Entrez Gene
854519	Entrez Gene
852013	Entrez Gene
854399	Entrez Gene
854157	Entrez Gene
855609	Entrez Gene
854322	Entrez Gene
856136	Entrez Gene
852071	Entrez Gene
