M26020 AAA35137.1 S000006025 YPL104W
Z75214 CAA99626.1 S000005833 YOR306C
Z72719 CAA96909.1 S000003165 YGL197W
X62878 CAA44671.1 S000006081 YPL160W
X60227 CAA42788.1 S000003631 YJL095W
U46215 AAC49475.1 S000003882 YJR121W
U26031 AAC49065.1 S000000291 YBR087W
U12825 AAA62665.1 S000001511 YKL028W
U13017 AAA61644.1 S000006050 YPL129W
Z28061 CAA81898.1 S000001544 YKL061W
Y07522 CAA68815.1 S000001586 YKL103C
L38848 AAA60938.1 S000001393 YIL131C
L25088 AAB59315.1 S000003638 YJL102W
Z74760 CAA99017.1 S000005378 YOL018C
Z75294 CAA99718.1 S000005913 YOR386W
Z74255 CAA98785.1 S000002366 YDL207W
Z72777 CAA96975.1 S000003224 YGL255W
Z74874 CAA99152.1 S000005492 YOL132W
X51665 CAA35977.1 S000002202 YDL044C
Z75173 CAA99488.1 S000005791 YOR265W
M35861 AAA34413.1 S000000680 YCR084C
Z73148 CAA97494.1 S000003966 YLL043W
Z74149 CAA98668.1 S000002259 YDL101C
Z49562 CAA89590.1 S000003823 YJR062C
M28222 AAA34910.1 S000003425 YGR193C
Z71567 CAA96209.1 S000005235 YNL291C
L20789 AAA16574.1 S000005273 YNL329C
Z71598 CAA96253.1 S000005266 YNL322C
S50459 AAB24455.1 S000000019 YAL021C
X53531 CAA37610.1 S000004230 YLR240W
U39041 AAA81033.1 S000005429 YOL068C
X56812 CAA40149.1 S000000814 YER012W
X66501 CAA47121.1 S000000479 YBR275C
X80930 CAA56902.1 S000004375 YLR383W
Z72714 CAA96904.1 S000003160 YGL192W
X54525 CAA38391.1 S000005258 YNL314W
X05358 CAA28962.1 S000007274 Q0130
X05357 CAA28961.1 S000007274 Q0130
Z75198 CAA99517.1 S000005816 YOR290C
Z74357 CAA98879.1 S000002468 YDR061W
Z49448 CAA89468.1 S000003709 YJL173C
L33783 AAA65065.1 S000000494 YBR290W
M31072 AAA34648.1 S000003514 YGR282C
Z35925 CAA84999.1 S000000260 YBR056W
Z72754 CAA96950.1 S000003201 YGL232W
Z74254 CAA98784.1 S000002365 YDL206W
X90995 CAA62481.1 S000003803 YJR042W
Z14128 CAA78503.1 S000003176 YGL208W
M32336 AAB65811.1 S000004095 YLR105C
Z73571 CAA97930.1 S000006136 YPL215W
Z72639 CAA96825.1 S000003085 YGL117W
Z75097 CAA99398.1 S000005715 YOR189W
S57889 AAB19616.1 S000002982 YGL014W
U77137 AAB38271.1 S000003878 YJR117W
Z71641 CAA96306.1 S000005309 YNR026C
M17512 AAA34610.1 S000004564 YML098W
Z71462 CAA96080.1 S000005130 YNL186W
M97918 AAA58257.1 S000000914 YER112W
M92092 AAA35051.1 S000002796 YDR388W
Z74933 CAA99215.1 S000005551 YOR025W
U60829 AAB61454.1 S000004837 YMR224C
Z71589 CAA96243.1 S000005257 YNL313C
X77511 CAA54646.1 S000001593 YKL110C
Z71685 CAA96352.1 S000005353 YNR070W
Z73139 CAA97483.1 S000003957 YLL034C
Z74249 CAA98779.1 S000002360 YDL201W
Z49597 CAA89627.1 S000003858 YJR097W
Z28020 CAA81855.1 S000001503 YKL020C
Z28139 CAA81980.1 S000001622 YKL139W
Z71525 CAA96156.1 S000005193 YNL249C
X61388 CAA43660.1 S000000728 YEL002C
U60192 AAB17052.1 S000001865 YFL029C
Z72811 CAA97009.1 S000003258 YGR026W
AB008799 BAA23522.1 S000006149 YPL228W
X56106 CAA39582.1 S000003308 YGR076C
Z71596 CAA96251.1 S000005264 YNL320W
Z74202 CAA98728.1 S000002313 YDL154W
Z74290 CAA98822.1 S000002401 YDL242W
X51664 CAA35976.1 S000002329 YDL170W
M63232 AAA34949.1 S000003131 YGL163C
X52900 CAA37082.1 S000003174 YGL206C
X76133 CAA53736.1 S000001671 YKL188C
Z71414 CAA96020.1 S000005082 YNL138W
Z72566 CAA96746.1 S000003012 YGL044C
Z74225 CAA98751.1 S000002336 YDL177C
Z72702 CAA96892.1 S000003148 YGL180W
Z75026 CAA99316.1 S000005644 YOR118W
Z74936 CAA99218.1 S000005554 YOR028C
X17552 CAA35588.1 S000004838 YMR225C
L21702 AAC37365.1 S000002492 YDR085C
Z74975 CAA99260.1 S000005593 YOR067C
L42540 AAB48372.1 S000002653 YDR245W
Z71587 CAA96240.1 S000005255 YNL311C
Z75106 CAA99411.1 S000005724 YOR198C
Z75183 CAA99500.1 S000005801 YOR275C
X56662 CAA39989.1 S000000944 YER142C
M98332 AAA34510.1 S000004028 YLR038C
X56259 CAA39699.1 S000002444 YDR037W
Z28172 CAA82014.1 S000001655 YKL172W
Z71456 CAA96072.1 S000005124 YNL180C
Z72695 CAA96885.1 S000003141 YGL173C
U50560 AAC49303.1 S000001936 YFR040W
Z71636 CAA96300.1 S000005304 YNR021W
M90097 AAA35219.1 S000003141 YGL173C
Z74158 CAA98677.1 S000002268 YDL110C
U20616 AAA70169.1 S000004140 YLR150W
X03213 CAA26957.1 S000001849 YFL045C
X73234 CAA51706.1 S000000902 YER100W
Z72731 CAA96924.1 S000003177 YGL209W
Z71517 CAA96146.1 S000005185 YNL241C
Z71492 CAA96118.1 S000005160 YNL216W
Z73012 CAA97255.1 S000003459 YGR227W
Z72542 CAA96720.1 S000002988 YGL020C
X89368 CAA61550.1 S000003884 YJR123W
L20767 AAC37364.1 S000004961 YNL016W
X81424 CAA57183.1 S000002549 YDR142C
Z74804 CAA99071.1 S000005423 YOL062C
Z75209 CAA99619.1 S000005827 YOR301W
Z72799 CAA96997.1 S000003246 YGR014W
Z74923 CAA99205.1 S000005541 YOR015W
Z28065 CAA81902.1 S000001548 YKL065C
L08909 AAA88731.1 S000002186 YDL028C
Z28306 CAA82160.1 S000001789 YKR081C
X67810 CAA48011.1 S000002495 YDR088C
Z73549 CAA97906.1 S000006114 YPL193W
Z72603 CAA96786.1 S000003049 YGL081W
D14135 BAA03190.1 S000000010 YAL012W
M11946 AAA34432.1 S000003624 YJL088W
Z49521 CAA89546.1 S000003782 YJR021C
U93584 AAB51597.1 S000001671 YKL188C
Z28028 CAA81863.1 S000001511 YKL028W
Z28089 CAA81927.1 S000001572 YKL089W
M93123 AAA02903.1 S000000615 YCR021C
X75449 CAA53201.1 S000005442 YOL082W
M21484 AAA34547.1 S000001049 YHR007C
M21483 AAA34546.1 S000001049 YHR007C
